start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph,travel_time_minutes
Dwarka,Karol Bagh,15.59,Evening Peak,Weekend,Heatwave,Very High,Main Road,11.0,83.5
Greater Kailash,Civil Lines,14.87,Evening Peak,Weekend,Clear,Low,Highway,66.4,14.1
Noida Sector 18,Dwarka,27.45,Evening Peak,Weekend,Clear,Low,Highway,89.4,17.9
Rohini,Lajpat Nagar,26.64,Morning Peak,Weekday,Clear,Very High,Highway,16.3,97.1
Mayur Vihar,Civil Lines,10.05,Night,Weekday,Clear,Medium,Highway,51.5,12.4
AIIMS,Connaught Place,7.18,Afternoon,Weekday,Clear,Medium,Main Road,36.5,13.4
Nehru Place,Noida Sector 18,7.47,Evening Peak,Weekend,Rain,Low,Main Road,27.3,16.7
Janakpuri,Rohini,14.51,Morning Peak,Weekday,Clear,Very High,Main Road,10.0,89.1
Kalkaji,Noida Sector 18,8.19,Night,Weekday,Heatwave,Medium,Main Road,25.5,19.4
Chandni Chowk,Connaught Place,2.54,Morning Peak,Weekday,Clear,High,Inner Road,15.4,9.9
Pitampura,Rohini,8.97,Morning Peak,Weekday,Clear,Very High,Inner Road,8.2,69.2
Okhla,Greater Kailash,4.03,Evening Peak,Weekday,Clear,Very High,Highway,16.2,14.6
Preet Vihar,Saket,15.46,Afternoon,Weekday,Clear,Low,Highway,77.7,11.8
Connaught Place,Chandni Chowk,2.54,Evening Peak,Weekday,Heatwave,High,Inner Road,13.4,11.2
Okhla,Janakpuri,20.56,Evening Peak,Weekday,Clear,Very High,Highway,14.9,81.3
Nehru Place,Shahdara,14.22,Afternoon,Weekday,Rain,Medium,Main Road,27.1,31.6
Okhla,Pitampura,23.54,Evening Peak,Weekend,Clear,Medium,Highway,48.1,34.4
IGI Airport,Hauz Khas,9.81,Evening Peak,Weekday,Rain,Very High,Main Road,6.5,99.2
Karol Bagh,Pitampura,8.11,Evening Peak,Weekday,Clear,High,Main Road,29.4,18.1
Vasant Kunj,IGI Airport,6.9,Evening Peak,Weekend,Clear,Medium,Main Road,39.0,11.1
Saket,Lajpat Nagar,5.89,Morning Peak,Weekday,Clear,Very High,Inner Road,8.1,45.6
IGI Airport,Okhla,16.94,Morning Peak,Weekday,Clear,Medium,Highway,51.5,19.5
Vasant Kunj,Karol Bagh,15.08,Evening Peak,Weekend,Rain,Medium,Highway,38.2,24.6
Saket,Noida Sector 18,12.72,Afternoon,Weekend,Fog,Low,Inner Road,20.7,37.5
Dwarka,Noida Sector 18,27.45,Night,Weekday,Rain,Medium,Highway,46.7,35.5
Model Town,Rajouri Garden,10.2,Morning Peak,Weekend,Clear,Low,Main Road,37.0,17.7
Civil Lines,Karol Bagh,4.62,Afternoon,Weekday,Heatwave,Medium,Inner Road,24.0,11.9
Dwarka,IGI Airport,6.61,Morning Peak,Weekend,Rain,High,Main Road,16.7,24.0
Shahdara,Noida Sector 18,12.02,Night,Weekday,Rain,Medium,Main Road,23.5,30.9
Noida Sector 18,Chandni Chowk,12.9,Evening Peak,Weekend,Rain,Medium,Main Road,25.8,29.1
Shahdara,Pitampura,15.65,Evening Peak,Weekday,Clear,High,Highway,32.0,29.6
Shahdara,Mayur Vihar,6.61,Evening Peak,Weekend,Clear,High,Main Road,22.6,17.5
Punjabi Bagh,Civil Lines,9.27,Evening Peak,Weekday,Clear,Very High,Main Road,13.6,42.2
Hauz Khas,IGI Airport,9.81,Afternoon,Weekday,Clear,Medium,Inner Road,29.6,20.9
Punjabi Bagh,Hauz Khas,14.84,Afternoon,Weekday,Clear,Medium,Main Road,38.6,23.7
Vasant Kunj,Rajouri Garden,14.56,Afternoon,Weekday,Rain,High,Highway,27.9,30.6
Dwarka,Saket,17.4,Morning Peak,Weekend,Heatwave,Medium,Main Road,35.6,30.9
Model Town,Civil Lines,5.0,Morning Peak,Weekend,Rain,Low,Inner Road,18.4,16.7
Nehru Place,Model Town,19.38,Evening Peak,Weekday,Fog,Very High,Highway,10.4,114.5
Rohini,AIIMS,25.2,Evening Peak,Weekend,Clear,Low,Main Road,36.2,42.8
Hauz Khas,Okhla,7.23,Morning Peak,Weekday,Clear,High,Main Road,27.7,17.2
Rohini,Hauz Khas,26.29,Morning Peak,Weekend,Clear,Very High,Highway,18.8,83.3
Karol Bagh,Dwarka,15.59,Evening Peak,Weekday,Clear,High,Main Road,18.9,52.1
Saket,Pitampura,21.25,Morning Peak,Weekday,Clear,Very High,Main Road,11.5,113.9
Nehru Place,Saket,5.32,Night,Weekday,Clear,Medium,Inner Road,27.6,11.6
Connaught Place,Rohini,20.4,Afternoon,Weekday,Clear,Low,Highway,64.3,18.7
Hauz Khas,Lajpat Nagar,4.29,Evening Peak,Weekend,Clear,Medium,Inner Road,14.8,19.1
Rajouri Garden,Greater Kailash,15.57,Evening Peak,Weekday,Rain,Very High,Highway,12.4,78.3
Model Town,Shahdara,10.5,Afternoon,Weekday,Clear,Very High,Inner Road,8.3,77.3
AIIMS,Lajpat Nagar,2.68,Afternoon,Weekday,Clear,High,Main Road,27.5,5.7
Hauz Khas,Noida Sector 18,12.51,Evening Peak,Weekday,Clear,Very High,Highway,21.3,35.8
Saket,Vasant Kunj,4.88,Afternoon,Weekday,Heatwave,Medium,Inner Road,10.5,29.0
Noida Sector 18,Rajouri Garden,21.63,Evening Peak,Weekend,Heatwave,Medium,Main Road,38.8,35.3
Kalkaji,Rohini,30.48,Evening Peak,Weekday,Clear,Very High,Highway,15.9,111.6
Preet Vihar,Kalkaji,12.39,Morning Peak,Weekday,Clear,Low,Highway,67.7,10.9
Vasant Kunj,Karol Bagh,15.08,Evening Peak,Weekday,Clear,High,Highway,42.8,20.8
Kalkaji,Hauz Khas,5.29,Night,Weekday,Fog,Medium,Main Road,22.4,14.3
Janakpuri,Okhla,20.56,Morning Peak,Weekend,Clear,High,Highway,44.2,28.0
Noida Sector 18,Vasant Kunj,17.44,Evening Peak,Weekday,Clear,High,Highway,32.8,32.8
Nehru Place,Shahdara,14.22,Evening Peak,Weekday,Clear,High,Inner Road,12.3,73.0
Punjabi Bagh,Chandni Chowk,9.93,Morning Peak,Weekday,Heatwave,Low,Main Road,54.7,11.3
Shahdara,Mayur Vihar,6.61,Afternoon,Weekend,Rain,Medium,Main Road,28.7,15.5
Greater Kailash,Mayur Vihar,9.55,Night,Weekday,Clear,Low,Main Road,35.8,16.0
Greater Kailash,Connaught Place,9.57,Afternoon,Weekend,Clear,Medium,Highway,48.6,12.4
Connaught Place,Vasant Kunj,13.75,Evening Peak,Weekday,Clear,High,Highway,38.5,21.2
Kalkaji,Mayur Vihar,9.67,Afternoon,Weekend,Clear,Medium,Highway,60.1,9.8
Karol Bagh,AIIMS,9.61,Morning Peak,Weekday,Clear,Medium,Main Road,41.0,13.8
Karol Bagh,Noida Sector 18,16.06,Morning Peak,Weekday,Clear,High,Main Road,24.5,41.1
AIIMS,IGI Airport,10.81,Morning Peak,Weekday,Clear,High,Highway,35.3,19.9
Shahdara,Pitampura,15.65,Evening Peak,Weekday,Heatwave,Medium,Main Road,29.7,33.4
Karol Bagh,Rajouri Garden,6.66,Afternoon,Weekend,Rain,High,Main Road,17.9,23.5
Okhla,Punjabi Bagh,20.5,Morning Peak,Weekday,Rain,High,Highway,22.6,56.3
Chandni Chowk,Punjabi Bagh,9.93,Night,Weekday,Fog,Low,Main Road,23.6,24.7
Civil Lines,Karol Bagh,4.62,Morning Peak,Weekday,Clear,High,Main Road,25.0,11.4
Mayur Vihar,Model Town,15.05,Evening Peak,Weekend,Clear,Medium,Highway,53.2,17.1
Vasant Kunj,Mayur Vihar,17.08,Afternoon,Weekday,Clear,High,Main Road,21.5,48.4
AIIMS,Mayur Vihar,9.79,Evening Peak,Weekday,Clear,Very High,Main Road,12.2,50.0
Shahdara,Mayur Vihar,6.61,Afternoon,Weekday,Rain,Low,Inner Road,11.0,37.4
Mayur Vihar,Shahdara,6.61,Night,Weekday,Clear,Medium,Main Road,32.8,13.0
Karol Bagh,Hauz Khas,11.44,Evening Peak,Weekend,Heatwave,High,Main Road,25.2,27.6
Shahdara,Lajpat Nagar,12.53,Evening Peak,Weekday,Clear,Very High,Highway,14.6,50.5
Lajpat Nagar,Punjabi Bagh,15.06,Morning Peak,Weekday,Clear,High,Inner Road,8.0,115.9
IGI Airport,Civil Lines,18.43,Evening Peak,Weekend,Rain,Medium,Highway,47.4,24.1
Rajouri Garden,Saket,15.91,Morning Peak,Weekend,Clear,Low,Highway,87.2,11.2
Janakpuri,Rajouri Garden,4.38,Evening Peak,Weekday,Clear,Very High,Inner Road,8.4,30.6
Dwarka,AIIMS,16.25,Evening Peak,Weekday,Clear,Very High,Inner Road,8.2,135.6
Civil Lines,Hauz Khas,14.76,Morning Peak,Weekend,Fog,Medium,Highway,28.0,33.4
AIIMS,Janakpuri,13.39,Evening Peak,Weekday,Clear,High,Main Road,22.6,35.3
Vasant Kunj,Chandni Chowk,16.27,Afternoon,Weekday,Heatwave,Medium,Highway,47.0,22.5
Dwarka,Lajpat Nagar,18.84,Afternoon,Weekend,Rain,High,Highway,24.0,48.7
Mayur Vihar,Vasant Kunj,17.08,Evening Peak,Weekday,Clear,Very High,Main Road,14.6,81.5
Greater Kailash,Rohini,28.43,Morning Peak,Weekday,Clear,Very High,Highway,19.8,88.3
Saket,Model Town,21.24,Morning Peak,Weekend,Rain,Medium,Highway,44.4,32.2
IGI Airport,Vasant Kunj,6.9,Evening Peak,Weekday,Rain,Very High,Main Road,9.0,45.7
Noida Sector 18,Lajpat Nagar,8.66,Morning Peak,Weekday,Heatwave,High,Main Road,18.4,28.9
AIIMS,Saket,4.77,Afternoon,Weekend,Clear,Low,Inner Road,14.8,19.1
Pitampura,Chandni Chowk,11.29,Evening Peak,Weekday,Fog,High,Main Road,16.3,43.3
Preet Vihar,Saket,15.46,Morning Peak,Weekend,Heatwave,High,Highway,39.2,23.1
Saket,Pitampura,21.25,Night,Weekday,Clear,Low,Highway,79.2,17.8
Nehru Place,Rajouri Garden,16.77,Morning Peak,Weekday,Rain,Very High,Main Road,10.7,97.5
Connaught Place,Mayur Vihar,7.89,Afternoon,Weekday,Heatwave,Low,Main Road,45.8,10.8
Civil Lines,Greater Kailash,14.87,Evening Peak,Weekday,Fog,High,Main Road,17.2,52.3
Civil Lines,Preet Vihar,7.88,Evening Peak,Weekday,Rain,High,Highway,27.0,18.3
Karol Bagh,Shahdara,9.9,Evening Peak,Weekday,Clear,Very High,Main Road,10.5,58.5
Saket,Chandni Chowk,14.23,Afternoon,Weekend,Clear,Low,Main Road,59.9,14.0
Model Town,Lajpat Nagar,16.71,Evening Peak,Weekend,Fog,Low,Inner Road,21.0,53.5
Rajouri Garden,Karol Bagh,6.66,Afternoon,Weekend,Clear,Medium,Main Road,43.5,9.5
Preet Vihar,Janakpuri,20.09,Evening Peak,Weekday,Clear,Very High,Highway,21.1,58.5
Chandni Chowk,Janakpuri,14.33,Morning Peak,Weekday,Clear,High,Highway,34.5,25.1
Hauz Khas,Preet Vihar,13.62,Evening Peak,Weekday,Clear,High,Main Road,22.0,37.0
Noida Sector 18,AIIMS,11.33,Evening Peak,Weekend,Fog,Medium,Main Road,14.7,46.8
IGI Airport,Janakpuri,7.4,Evening Peak,Weekday,Clear,High,Inner Road,8.3,55.2
Civil Lines,AIIMS,12.66,Afternoon,Weekend,Fog,High,Main Road,15.6,47.9
Connaught Place,Rajouri Garden,9.35,Afternoon,Weekday,Clear,Low,Highway,66.7,8.8
Rohini,Pitampura,8.97,Evening Peak,Weekend,Rain,High,Main Road,12.5,46.6
AIIMS,Punjabi Bagh,13.63,Evening Peak,Weekday,Clear,Medium,Highway,49.9,17.1
Model Town,Saket,21.24,Evening Peak,Weekday,Rain,High,Highway,23.2,55.5
Kalkaji,Civil Lines,16.3,Night,Weekday,Clear,Low,Main Road,58.5,16.3
Janakpuri,Shahdara,20.44,Afternoon,Weekday,Clear,Medium,Highway,54.9,22.3
Pitampura,Rajouri Garden,6.43,Evening Peak,Weekend,Clear,High,Highway,30.6,12.4
Janakpuri,Hauz Khas,13.61,Night,Weekday,Rain,Low,Main Road,25.1,34.5
Greater Kailash,Model Town,19.14,Afternoon,Weekday,Clear,Medium,Main Road,43.4,26.3
Dwarka,IGI Airport,6.61,Evening Peak,Weekday,Heatwave,Very High,Main Road,11.1,34.8
Greater Kailash,Mayur Vihar,9.55,Morning Peak,Weekday,Clear,High,Main Road,23.7,25.1
AIIMS,Janakpuri,13.39,Morning Peak,Weekend,Clear,Medium,Highway,61.3,13.6
Lajpat Nagar,IGI Airport,13.5,Night,Weekday,Clear,Medium,Main Road,45.0,20.0
Kalkaji,Vasant Kunj,9.44,Evening Peak,Weekday,Clear,High,Highway,42.0,13.6
Preet Vihar,Rohini,25.98,Afternoon,Weekday,Heatwave,Medium,Highway,64.0,29.2
Okhla,Chandni Chowk,13.88,Afternoon,Weekday,Clear,Medium,Main Road,30.1,29.3
Dwarka,Shahdara,25.37,Afternoon,Weekday,Fog,Medium,Highway,30.9,49.9
Punjabi Bagh,Nehru Place,17.83,Evening Peak,Weekday,Clear,Very High,Highway,18.0,58.1
Nehru Place,Okhla,2.67,Afternoon,Weekday,Rain,Medium,Inner Road,13.3,11.8
Okhla,Civil Lines,17.22,Morning Peak,Weekday,Heatwave,Medium,Highway,60.3,17.3
Saket,Rajouri Garden,15.91,Afternoon,Weekend,Clear,Medium,Main Road,35.3,27.8
Rohini,Civil Lines,18.15,Evening Peak,Weekday,Clear,Very High,Highway,21.9,49.8
IGI Airport,Dwarka,6.61,Evening Peak,Weekday,Clear,Very High,Main Road,9.9,41.7
Greater Kailash,AIIMS,3.26,Afternoon,Weekday,Heatwave,Medium,Inner Road,23.8,8.1
Pitampura,Connaught Place,11.52,Evening Peak,Weekday,Rain,Very High,Main Road,7.0,107.5
Civil Lines,Hauz Khas,14.76,Morning Peak,Weekend,Fog,Low,Highway,47.9,19.5
Preet Vihar,Noida Sector 18,8.57,Afternoon,Weekend,Heatwave,Low,Main Road,33.9,15.6
Noida Sector 18,IGI Airport,22.12,Evening Peak,Weekday,Heatwave,Very High,Highway,17.2,80.4
Mayur Vihar,Greater Kailash,9.55,Evening Peak,Weekend,Clear,Very High,Main Road,12.9,46.9
AIIMS,Nehru Place,4.68,Night,Weekday,Clear,Low,Main Road,52.0,5.6
Janakpuri,Kalkaji,18.68,Evening Peak,Weekday,Rain,High,Highway,29.3,38.6
Shahdara,Chandni Chowk,6.2,Evening Peak,Weekday,Rain,Very High,Inner Road,7.0,58.1
Rajouri Garden,Janakpuri,4.38,Evening Peak,Weekday,Clear,Low,Inner Road,21.2,13.1
Preet Vihar,Connaught Place,7.48,Morning Peak,Weekday,Heatwave,Very High,Main Road,8.3,54.4
Janakpuri,Rajouri Garden,4.38,Morning Peak,Weekend,Heatwave,High,Main Road,27.2,9.9
Vasant Kunj,AIIMS,7.41,Evening Peak,Weekday,Fog,Very High,Main Road,5.8,75.0
Janakpuri,Kalkaji,18.68,Evening Peak,Weekday,Fog,Very High,Highway,9.4,121.0
Pitampura,Dwarka,15.04,Afternoon,Weekday,Clear,High,Main Road,23.7,41.8
Dwarka,Connaught Place,17.23,Morning Peak,Weekday,Clear,Very High,Main Road,12.8,83.2
Rajouri Garden,IGI Airport,10.32,Afternoon,Weekend,Clear,Medium,Main Road,41.8,15.4
Mayur Vihar,Saket,13.17,Morning Peak,Weekday,Rain,Very High,Highway,10.7,81.9
Preet Vihar,Rajouri Garden,16.6,Morning Peak,Weekday,Heatwave,High,Main Road,16.8,66.8
Okhla,Punjabi Bagh,20.5,Evening Peak,Weekday,Rain,Very High,Highway,11.9,106.1
Rohini,Karol Bagh,16.99,Evening Peak,Weekend,Fog,Medium,Inner Road,13.4,78.8
Hauz Khas,Karol Bagh,11.44,Afternoon,Weekday,Clear,Very High,Main Road,9.6,71.1
Pitampura,Connaught Place,11.52,Evening Peak,Weekday,Rain,Very High,Highway,12.2,58.5
IGI Airport,Dwarka,6.61,Evening Peak,Weekend,Clear,Very High,Main Road,12.0,34.5
Nehru Place,Rajouri Garden,16.77,Night,Weekday,Clear,Low,Highway,66.0,17.1
Mayur Vihar,Civil Lines,10.05,Afternoon,Weekend,Clear,Medium,Highway,55.1,11.0
Civil Lines,Saket,17.43,Evening Peak,Weekday,Clear,Very High,Main Road,12.9,88.5
Noida Sector 18,Shahdara,12.02,Evening Peak,Weekday,Rain,High,Highway,26.0,29.4
Greater Kailash,Chandni Chowk,11.55,Evening Peak,Weekend,Clear,Medium,Highway,49.7,13.7
Vasant Kunj,Janakpuri,13.24,Morning Peak,Weekend,Clear,Medium,Highway,47.2,16.4
Vasant Kunj,Punjabi Bagh,16.74,Morning Peak,Weekend,Fog,Medium,Inner Road,13.8,74.1
Preet Vihar,Dwarka,24.67,Evening Peak,Weekday,Rain,High,Highway,29.0,53.1
Connaught Place,Civil Lines,5.49,Evening Peak,Weekend,Heatwave,Medium,Highway,49.9,6.7
AIIMS,Hauz Khas,2.2,Evening Peak,Weekday,Clear,Very High,Inner Road,9.0,15.5
IGI Airport,Preet Vihar,21.04,Afternoon,Weekday,Clear,Medium,Highway,53.9,24.5
Chandni Chowk,Karol Bagh,3.94,Afternoon,Weekday,Clear,Medium,Inner Road,16.5,14.7
Dwarka,Mayur Vihar,24.43,Morning Peak,Weekday,Clear,Medium,Main Road,31.2,45.9
AIIMS,Greater Kailash,3.26,Afternoon,Weekday,Clear,Very High,Main Road,11.8,16.3
Hauz Khas,Greater Kailash,3.32,Evening Peak,Weekday,Fog,Medium,Highway,29.3,6.7
Dwarka,Janakpuri,5.26,Afternoon,Weekday,Clear,Medium,Main Road,40.6,7.7
Noida Sector 18,Vasant Kunj,17.44,Afternoon,Weekday,Rain,Medium,Main Road,20.0,58.7
Janakpuri,Pitampura,10.13,Afternoon,Weekday,Rain,High,Main Road,13.1,46.2
Mayur Vihar,Karol Bagh,11.04,Morning Peak,Weekday,Clear,High,Main Road,29.8,23.0
Dwarka,Pitampura,15.04,Evening Peak,Weekend,Clear,High,Highway,38.9,23.6
Rajouri Garden,Preet Vihar,16.6,Evening Peak,Weekday,Clear,High,Highway,35.7,27.1
Rajouri Garden,Connaught Place,9.35,Morning Peak,Weekday,Fog,High,Inner Road,10.6,52.3
Rohini,Punjabi Bagh,11.6,Afternoon,Weekday,Rain,Very High,Highway,11.9,61.2
Nehru Place,Civil Lines,14.85,Evening Peak,Weekend,Clear,Medium,Highway,56.8,15.4
Pitampura,Preet Vihar,17.1,Night,Weekday,Clear,Low,Highway,66.0,15.6
Nehru Place,Preet Vihar,10.93,Morning Peak,Weekday,Fog,High,Main Road,10.4,64.6
Mayur Vihar,Saket,13.17,Afternoon,Weekend,Clear,High,Highway,43.2,21.3
Noida Sector 18,Greater Kailash,9.35,Night,Weekday,Clear,Low,Main Road,38.7,15.0
Connaught Place,Saket,11.95,Evening Peak,Weekday,Clear,Medium,Main Road,29.1,25.2
Mayur Vihar,Preet Vihar,3.05,Night,Weekday,Clear,Low,Main Road,55.3,3.6
AIIMS,Hauz Khas,2.2,Evening Peak,Weekend,Rain,Medium,Main Road,23.9,5.6
Rajouri Garden,Civil Lines,10.68,Morning Peak,Weekday,Clear,High,Highway,37.0,17.8
Noida Sector 18,Pitampura,24.06,Night,Weekend,Heatwave,Low,Inner Road,15.9,95.1
Okhla,Civil Lines,17.22,Evening Peak,Weekday,Rain,High,Inner Road,7.6,133.7
Shahdara,Okhla,15.92,Evening Peak,Weekday,Clear,Very High,Highway,18.0,51.8
Punjabi Bagh,Okhla,20.5,Evening Peak,Weekend,Rain,High,Highway,25.4,50.9
Shahdara,Chandni Chowk,6.2,Afternoon,Weekday,Heatwave,High,Inner Road,11.8,32.0
Nehru Place,IGI Airport,14.99,Evening Peak,Weekday,Clear,High,Main Road,20.2,44.8
Lajpat Nagar,Kalkaji,4.08,Evening Peak,Weekend,Fog,Medium,Inner Road,10.8,23.8
Preet Vihar,Kalkaji,12.39,Afternoon,Weekday,Clear,High,Inner Road,10.5,70.2
Nehru Place,Shahdara,14.22,Afternoon,Weekday,Clear,Medium,Highway,67.6,12.4
Nehru Place,Lajpat Nagar,2.8,Afternoon,Weekday,Clear,High,Inner Road,14.0,12.0
Preet Vihar,AIIMS,11.51,Morning Peak,Weekday,Clear,High,Main Road,24.4,29.8
Rohini,Shahdara,24.21,Evening Peak,Weekday,Clear,Very High,Highway,20.1,71.1
Nehru Place,Hauz Khas,5.2,Afternoon,Weekday,Clear,Medium,Main Road,43.3,7.4
Okhla,Hauz Khas,7.23,Afternoon,Weekday,Clear,High,Main Road,20.6,23.2
Rajouri Garden,AIIMS,12.31,Morning Peak,Weekday,Clear,High,Main Road,24.9,31.4
Greater Kailash,Okhla,4.03,Morning Peak,Weekend,Clear,Medium,Main Road,37.8,6.4
IGI Airport,Greater Kailash,13.13,Afternoon,Weekday,Rain,Very High,Main Road,7.6,122.2
Preet Vihar,Greater Kailash,11.95,Morning Peak,Weekday,Fog,Medium,Main Road,23.3,32.1
Saket,IGI Airport,11.0,Evening Peak,Weekday,Clear,Very High,Main Road,13.1,53.2
Kalkaji,AIIMS,5.39,Night,Weekday,Heatwave,Medium,Main Road,26.5,11.9
Mayur Vihar,Kalkaji,9.67,Afternoon,Weekday,Clear,High,Inner Road,9.8,60.9
IGI Airport,Janakpuri,7.4,Afternoon,Weekday,Rain,Medium,Main Road,27.1,16.8
Dwarka,Civil Lines,20.04,Morning Peak,Weekday,Fog,Very High,Main Road,7.8,171.1
Punjabi Bagh,Nehru Place,17.83,Morning Peak,Weekday,Clear,Very High,Main Road,12.5,83.6
Rohini,Pitampura,8.97,Morning Peak,Weekday,Heatwave,High,Main Road,19.3,27.6
Preet Vihar,Noida Sector 18,8.57,Afternoon,Weekday,Clear,Medium,Main Road,43.2,11.5
Okhla,Nehru Place,2.67,Morning Peak,Weekday,Clear,Medium,Inner Road,21.5,7.9
Karol Bagh,Preet Vihar,10.02,Afternoon,Weekday,Clear,Medium,Main Road,44.1,13.8
Rohini,Shahdara,24.21,Morning Peak,Weekday,Heatwave,Very High,Main Road,13.8,105.5
IGI Airport,AIIMS,10.81,Evening Peak,Weekend,Clear,Medium,Highway,62.7,10.2
Nehru Place,Okhla,2.67,Night,Weekday,Clear,Low,Main Road,50.5,3.2
Shahdara,IGI Airport,22.57,Evening Peak,Weekday,Heatwave,Very High,Highway,14.7,93.6
Nehru Place,Shahdara,14.22,Morning Peak,Weekday,Clear,High,Main Road,18.4,52.4
Hauz Khas,Preet Vihar,13.62,Afternoon,Weekend,Clear,Low,Highway,84.7,10.0
Mayur Vihar,Vasant Kunj,17.08,Evening Peak,Weekend,Heatwave,Very High,Main Road,9.7,108.6
AIIMS,Model Town,16.52,Morning Peak,Weekday,Clear,High,Main Road,20.1,51.8
AIIMS,Punjabi Bagh,13.63,Morning Peak,Weekday,Rain,Medium,Inner Road,15.1,56.2
Preet Vihar,Dwarka,24.67,Night,Weekday,Clear,Medium,Highway,64.5,25.6
Model Town,Rajouri Garden,10.2,Morning Peak,Weekday,Clear,Very High,Main Road,12.8,47.8
Mayur Vihar,Model Town,15.05,Morning Peak,Weekend,Clear,Medium,Highway,68.5,13.0
Pitampura,Rajouri Garden,6.43,Morning Peak,Weekend,Heatwave,Low,Main Road,32.6,11.8
Noida Sector 18,Janakpuri,23.96,Evening Peak,Weekday,Clear,High,Highway,41.0,36.4
AIIMS,IGI Airport,10.81,Morning Peak,Weekday,Clear,Very High,Highway,22.0,30.1
Karol Bagh,Nehru Place,12.97,Afternoon,Weekday,Clear,High,Inner Road,8.5,95.8
Connaught Place,Janakpuri,12.63,Afternoon,Weekday,Clear,Medium,Main Road,40.0,18.6
Model Town,Rohini,13.8,Morning Peak,Weekday,Clear,Very High,Highway,17.7,47.6
Chandni Chowk,Rohini,20.26,Morning Peak,Weekday,Clear,Very High,Highway,21.2,58.5
AIIMS,IGI Airport,10.81,Evening Peak,Weekend,Clear,Medium,Main Road,31.3,23.7
Noida Sector 18,Hauz Khas,12.51,Night,Weekday,Clear,Low,Main Road,40.3,18.4
Noida Sector 18,Janakpuri,23.96,Afternoon,Weekday,Clear,Low,Highway,76.1,18.5
Karol Bagh,Chandni Chowk,3.94,Evening Peak,Weekday,Clear,Very High,Inner Road,8.3,31.4
Civil Lines,Nehru Place,14.85,Evening Peak,Weekday,Clear,High,Highway,44.5,21.5
Okhla,Vasant Kunj,11.21,Evening Peak,Weekday,Fog,High,Main Road,14.1,50.6
Pitampura,Greater Kailash,20.1,Evening Peak,Weekday,Clear,Medium,Highway,68.2,17.3
Kalkaji,Pitampura,22.07,Night,Weekday,Heatwave,Low,Highway,76.7,17.6
